Indicadores municipales de sostenibilidad: Superficie agrícola (% s/ superficie total);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2016;2005
Araba/Álava;;27,99;28,02;27,87;27,87;27,87;27,28;27,96;28,49
Bizkaia;;1,05;1,05;0,95;0,96;0,97;0,97;0,97;0,94
CAE;;12,41;12,42;12,32;12,32;12,32;12,09;12,36;12,39
Gipuzkoa;;1,31;1,32;1,28;1,28;1,28;1,24;1,29;0,77
"";;;;;;;;;
Detalle por comarcas;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2016;2005
01100;Arabako Ibarrak / Valles Alaveses;32,44;32,47;32,47;32,47;32,47;32,46;32,45;33,08
01200;Arabako Lautada / Llanada Alavesa;38,54;38,59;38,59;38,59;38,58;38,57;38,58;39,65
01300;Arabako Mendialdea / Montaña Alavesa;20,87;20,92;20,91;20,91;20,91;20,90;21,47;21,17
48100;Arratia Nerbioi / Arratia-Nervión;0,81;0,82;0,77;0,77;0,77;0,79;0,80;0,87
20200;Bidasoa Beherea / Bajo Bidasoa;2,12;2,19;2,09;2,09;2,09;2,09;2,09;1,66
48200;Bilbo Handia / Gran Bilbao;2,21;2,23;2,06;2,09;2,09;2,09;2,09;2,16
20100;Deba Beherea / Bajo Deba;0,57;0,57;0,53;0,53;0,53;0,53;0,53;0,26
20300;Debagoiena / Alto Deba;0,52;0,53;0,50;0,50;0,50;0,50;0,50;0,28
20400;Donostialdea / Donostia-San Sebastián;2,23;2,28;2,25;2,25;2,25;2,27;2,27;1,79
48300;Durangaldea / Duranguesado;0,95;0,95;0,89;0,89;0,90;0,90;0,90;0,93
48400;Enkartazioak / Encartaciones;0,40;0,39;0,34;0,34;0,34;0,33;0,33;0,31
01400;Errioxa Arabarra / Rioja Alavesa;60,94;61,02;59,83;59,83;59,83;59,81;59,82;59,64
48500;Gernika-Bermeo;1,17;1,17;0,96;0,98;0,98;0,98;0,98;0,65
20500;Goierri;0,75;0,75;0,76;0,77;0,77;0,77;0,77;0,42
01500;Gorbeia Inguruak / Estribaciones del Gorbea;5,12;5,12;5,12;5,12;5,13;5,20;5,12;5,28
01600;Kantauri Arabarra / Cantábrica Alavesa;1,78;1,78;1,59;1,59;1,59;1,59;1,59;1,62
48600;Markina-Ondarroa;0,47;0,48;0,46;0,47;0,50;0,50;0,50;0,33
