Indicadores municipales de sostenibilidad: Superficie forestal pública (% s/ superficie forestal total);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2016;2005
Araba/Álava;;76,51;76,52;76,53;76,51;76,52;76,49;76,47;76,26
Bizkaia;;24,08;24,22;23,64;23,71;23,79;23,88;23,70;23,03
CAE;;42,07;42,13;41,95;41,98;42,06;42,11;41,67;41,05
Gipuzkoa;;21,46;21,49;21,50;21,52;21,52;21,52;21,18;19,93
"";;;;;;;;;
Detalle por comarcas;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2016;2005
01100;Arabako Ibarrak / Valles Alaveses;78,43;78,49;78,49;78,49;78,50;78,62;78,62;78,79
01200;Arabako Lautada / Llanada Alavesa;85,42;85,66;85,66;85,66;85,64;85,65;87,97;84,61
01300;Arabako Mendialdea / Montaña Alavesa;89,96;90,01;89,99;90,00;89,98;89,97;101,89;89,55
48100;Arratia Nerbioi / Arratia-Nervión;20,59;20,57;20,43;20,49;20,55;20,54;21,14;20,05
20200;Bidasoa Beherea / Bajo Bidasoa;41,07;41,03;41,03;41,06;41,23;41,63;41,21;38,67
48200;Bilbo Handia / Gran Bilbao;29,50;29,23;27,33;27,47;27,79;28,68;28,59;29,00
20100;Deba Beherea / Bajo Deba;2,19;2,19;2,20;2,20;2,21;2,23;2,19;2,12
20300;Debagoiena / Alto Deba;12,11;12,18;12,18;12,20;12,19;12,23;11,92;9,41
20400;Donostialdea / Donostia-San Sebastián;47,02;47,10;47,09;47,02;47,34;47,43;47,22;45,85
48300;Durangaldea / Duranguesado;13,88;13,87;13,41;13,41;13,69;13,65;13,50;11,77
48400;Enkartazioak / Encartaciones;62,02;62,34;60,98;61,10;61,10;61,27;61,10;61,03
01400;Errioxa Arabarra / Rioja Alavesa;60,29;60,25;59,98;59,98;60,07;59,70;59,70;60,31
48500;Gernika-Bermeo;10,84;10,85;10,47;10,48;10,34;10,33;10,32;10,23
20500;Goierri;12,73;12,75;12,76;12,78;12,41;12,37;23,07;11,19
01500;Gorbeia Inguruak / Estribaciones del Gorbea;70,40;70,12;70,08;70,07;70,10;70,11;70,00;69,80
01600;Kantauri Arabarra / Cantábrica Alavesa;46,18;46,06;46,16;46,17;46,13;45,93;45,83;45,55
48600;Markina-Ondarroa;5,23;5,24;4,86;4,89;4,89;4,90;4,81;4,59
48700;Plentzia-Mungia;8,60;8,61;8,74;8,76;8,70;8,77;8,67;7,67
20600;Tolosaldea / Tolosa;30,94;30,94;30,95;30,97;30,99;30,98;34,05;29,99
20700;Urola-Kostaldea / Urola Costa;6,15;6,14;6,13;6,15;6,17;6,23;6,04;5,77
"";;;;;;;;;
Detalle por municipios;;;;;;;;;
Código municipio;Municipio;2023;2022;2021;2020;2019;2018;2016;2005
48001;Abadiño;36,05;36,09;36,13;36,18;35,82;36,01;35,79;33,59
20001;Abaltzisketa;31,72;31,72;31,72;31,72;31,72;31,72;30,51;29,26
48002;Abanto y Ciérvana-Abanto Zierbena;67,29;67,29;67,91;67,91;67,79;73,36;73,36;75,60
20002;Aduna;50,46;50,46;50,46;50,46;50,46;50,46;50,22;49,89
20016;Aia;24,21;24,20;24,20;24,21;24,23;24,56;24,00;22,13
20003;Aizarnazabal;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48911;Ajangiz;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20004;Albiztur;0,49;0,61;0,61;0,61;0,61;0,49;0,60;2,17
20005;Alegia;40,89;40,89;40,89;41,08;41,08;41,39;41,12;41,84
01001;Alegría-Dulantzi;94,34;93,88;93,88;93,88;93,88;93,88;93,88;87,54
20006;Alkiza;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48912;Alonsotegi;60,89;60,94;48,05;47,96;51,81;52,31;52,50;47,53
20906;Altzaga;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20007;Altzo;0,78;0,78;0,78;0,78;0,78;0,78;0,74;0,58
20008;Amezketa;29,33;29,33;29,51;29,51;29,51;29,68;28,72;26,09
48003;Amorebieta-Etxano;9,72;9,73;8,32;8,25;9,42;9,42;9,18;8,71
48004;Amoroto;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
