Indicadores municipales de sostenibilidad: Superficie municipal de especial protección (% superficie total);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
Entidad;;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2006
Araba/Álava;;27,40;26,92;26,87;22,14;22,14;22,14;22,11;20,37;20,39;19,94;19,98;20,20;20,35;20,40;19,15;19,17;18,50
Bizkaia;;19,17;19,59;19,59;19,60;19,25;19,26;19,22;19,57;19,99;19,68;19,14;18,83;19,46;19,49;19,05;19,14;20,18
CAE;;23,62;23,78;23,61;21,83;21,72;21,76;21,51;20,80;21,00;20,71;20,37;20,39;20,67;20,60;19,76;19,98;19,23
Gipuzkoa;;22,89;23,74;23,19;23,94;23,94;24,08;23,22;22,90;23,12;23,11;22,40;22,48;22,55;22,19;21,53;22,21;19,26
"";;;;;;;;;;;;;;;;;;
Detalle por comarcas;;;;;;;;;;;;;;;;;;
Código comarca;Comarca;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2006
01100;Arabako Ibarrak / Valles Alaveses;34,52;34,52;34,53;12,74;12,74;12,73;12,74;12,74;12,74;11,29;11,29;11,29;11,30;11,39;11,39;0,00;0,00
01200;Arabako Lautada / Llanada Alavesa;21,31;21,31;21,32;21,32;21,32;21,32;21,32;20,31;20,31;20,31;20,31;20,39;20,21;20,21;18,65;0,00;0,00
01300;Arabako Mendialdea / Montaña Alavesa;37,62;37,97;37,62;37,62;37,62;37,62;37,62;28,61;28,61;28,61;28,90;28,93;29,22;29,24;24,88;0,00;0,00
48100;Arratia Nerbioi / Arratia-Nervión;28,27;28,26;28,26;28,26;28,26;28,26;28,26;28,26;28,26;27,92;28,06;28,13;27,76;27,77;24,86;0,00;0,00
20200;Bidasoa Beherea / Bajo Bidasoa;36,19;36,19;13,14;33,72;33,72;33,72;13,14;13,14;13,61;13,61;13,61;13,61;13,73;13,44;13,44;0,00;0,00
48200;Bilbo Handia / Gran Bilbao;11,49;12,95;12,95;13,00;11,40;11,40;11,35;11,39;12,69;12,71;12,53;10,46;10,39;10,29;10,39;0,00;0,00
20100;Deba Beherea / Bajo Deba;16,04;16,04;16,04;16,04;16,04;16,04;16,04;13,75;13,75;13,62;13,72;13,66;13,69;13,78;13,78;0,00;0,00
20300;Debagoiena / Alto Deba;20,31;20,31;20,31;20,30;20,30;20,30;20,31;18,94;18,94;18,95;18,44;18,44;18,46;18,15;17,36;0,00;0,00
20400;Donostialdea / Donostia-San Sebastián;23,96;23,96;23,97;23,98;23,98;23,98;23,98;24,70;26,37;26,37;26,67;26,63;24,03;21,93;21,85;0,00;0,00
48300;Durangaldea / Duranguesado;21,36;21,36;21,36;21,36;20,93;20,96;20,70;21,31;21,32;21,32;21,30;21,26;25,75;25,76;25,76;0,00;0,00
48400;Enkartazioak / Encartaciones;21,82;22,64;22,64;22,64;22,64;22,64;22,64;23,98;23,98;22,64;21,59;21,57;22,22;22,22;22,22;0,00;0,00
01400;Errioxa Arabarra / Rioja Alavesa;12,87;12,87;12,92;12,92;12,91;12,91;12,66;12,66;12,66;12,66;12,66;12,86;13,98;14,04;12,87;0,00;0,00
48500;Gernika-Bermeo;16,51;16,51;16,51;16,51;16,40;16,43;16,43;16,44;16,66;16,60;16,62;16,66;16,38;16,30;16,30;0,00;0,00
20500;Goierri;15,56;20,19;19,19;19,21;19,21;20,06;19,74;19,88;19,70;19,70;19,72;19,69;20,30;21,10;20,43;0,00;0,00
01500;Gorbeia Inguruak / Estribaciones del Gorbea;38,96;38,96;38,96;38,96;38,96;38,96;38,96;38,96;39,53;38,55;38,58;39,84;40,47;40,42;40,42;0,00;0,00
