Indicadores municipales de sostenibilidad: Superficie ocupada por parques, jardines y zonas verdes urbanas (m²/persona);;;;;;
"";;;;;;
Resumen de datos;;;;;;
Entidad;;2009;2008;2007;2006;2005
Araba/Álava;;24,79;24,42;24,66;20,51;20,69
Bizkaia;;11,48;10,55;11,03;9,98;9,75
CAE;;15,67;14,46;15,03;12,38;12,20
Gipuzkoa;;18,42;16,44;17,32;12,75;12,48
"";;;;;;
Detalle por comarcas;;;;;;
Código comarca;Comarca;2009;2008;2007;2006;2005
01100;Arabako Ibarrak / Valles Alaveses;60,97;;;;
01200;Arabako Lautada / Llanada Alavesa;23,94;;;;
01300;Arabako Mendialdea / Montaña Alavesa;28,10;;;;
48100;Arratia Nerbioi / Arratia-Nervión;42,24;;;;
20200;Bidasoa Beherea / Bajo Bidasoa;3,80;;;;
48200;Bilbo Handia / Gran Bilbao;8,02;;;;
20100;Deba Beherea / Bajo Deba;6,96;;;;
20300;Debagoiena / Alto Deba;12,83;;;;
20400;Donostialdea / Donostia-San Sebastián;26,83;;;;
48300;Durangaldea / Duranguesado;11,99;;;;
48400;Enkartazioak / Encartaciones;40,70;;;;
01400;Errioxa Arabarra / Rioja Alavesa;31,91;;;;
48500;Gernika-Bermeo;25,40;;;;
20500;Goierri;13,56;;;;
01500;Gorbeia Inguruak / Estribaciones del Gorbea;29,22;;;;
01600;Kantauri Arabarra / Cantábrica Alavesa;21,02;;;;
48600;Markina-Ondarroa;24,24;;;;
48700;Plentzia-Mungia;18,57;;;;
20600;Tolosaldea / Tolosa;18,58;;;;
20700;Urola-Kostaldea / Urola Costa;14,27;;;;
"";;;;;;
Detalle por municipios;;;;;;
Código municipio;Municipio;2009;2008;2007;2006;2005
48001;Abadiño;10,33;10,40;10,49;10,60;10,74
20001;Abaltzisketa;95,54;95,24;47,62;3,31;3,38
48002;Abanto y Ciérvana-Abanto Zierbena;14,61;14,75;14,83;14,84;13,77
20002;Aduna;37,65;37,69;40,43;30,14;30,30
20016;Aia;10,07;5,16;9,24;9,37;9,46
20003;Aizarnazabal;17,54;18,55;18,87;9,60;9,66
48911;Ajangiz;33,94;4,59;4,57;2,29;2,31
20004;Albiztur;3,44;3,33;3,32;3,45;3,47
20005;Alegia;;;;12,00;12,10
01001;Alegría-Dulantzi;46,23;47,97;51,46;56,74;59,06
20006;Alkiza;14,75;14,20;14,58;15,72;15,77
48912;Alonsotegi;10,92;10,89;10,55;14,57;14,72
20906;Altzaga;397,44;389,94;402,60;405,23;40,27
20007;Altzo;11,59;10,05;10,10;10,64;11,08
